Text,Sentiment,Emotions,translated_text,Justification
होता होता राहीलेला निवडणूक मारो मर्ज़ीभई,0,Neutral,"The election that was held was a draw, Marjibhai.",The sentence is neutral as it discusses elections but lacks any strong emotional words.
खरा लखोबा तर हा बोबडाच आहे,0,Neutral,The real Lakhoba is this Bobada.,"The word ""बोबडाच"" (stammering) suggests mild criticism but does not strongly indicate a specific emotion."
मुंबईतील घाटकोपरमध्ये धुळवड खेळून घरी परतलेलं दाम्पत्य बाथरुममध्ये मृतावस्थेत आढळलं!,-1,Disgust,"A couple who returned home after playing Dhulwad in Ghatkopar, Mumbai, was found dead in the bathroom!","The words ""मृतावस्थेत"" (dead) and ""बाथरुममध्ये"" (in the bathroom) create a disturbing and unpleasant image, leading to disgust."
वेडाबाई भूतकाळ बघ लोक शेन घालतात आणी दांडा ही,0,Neutral,"Crazy lady, look at the past, people wear masks and stick to it.","The phrase ""शेन घालतात"" (people spread dirt/muck) is figurative but lacks strong emotion."
कुर्ला वाहतुक विभागाला फक्त हे पाठवले जाते पण कधी कारवाई होत नाही,0,Neutral,Only this is sent to Kurla Transport Department but no action is ever taken.,The sentence talks about inaction but does not express strong emotions explicitly.
"साहेब भाजपा, गोदी मिडीया, अंधभक्त साठी परिवारवाद लागू होत नाही",0,Neutral,"Sir, family politics does not apply to BJP, Godi Media, and fanatics.","The words ""अंधभक्त"" (blind devotees) suggest sarcasm, but the sentence remains neutral."
चित्रा ताई वाघ आणि आपण शिंदे गट काडीचीही किंमत नाही ट्विट ला,0,Neutral,"Chitra Tai Wagh and we Shinde group are not worth even a penny, tweet.","The phrase ""काडीचीही किंमत नाही"" (not worth even a penny) is dismissive but not highly emotional."
एकवेळ मला काही देउ नका । पण शानपट्टी देऊन मला जाऊ नका ॥,-1,Anger,Don't give me anything at once. But don't leave me without giving me a reward.,"The phrase ""शानपट्टी देऊन मला जाऊ नका"" (don’t let me go without dignity) expresses frustration, leading to anger."
हा त्यांचा नैतिक विजयच आहे कारण समोर सत्तेसाठी जमलेले महत्वकांक्षी राक्षस उभे होते.,0,Neutral,This is their moral victory because in front of them stood ambitious monsters gathered for power.,"The phrase ""महत्वकांक्षी राक्षस"" (ambitious monsters) is figurative but lacks strong sentiment."
आता हे वसुली करणारे वित्तमंत्र्यांना फायनांस विषयात बोलणार….कमाल आहे बुवा तुमची!,1,Joy,Now these collectors will talk to the Finance Minister about finance...you are amazing!,"The phrase ""कमाल आहे बुवा तुमची!"" (Amazing, you guys!) suggests sarcasm, but it can be interpreted as joyful mockery."
बस घाण करणारयाना द्यायला बर पडल असत नाही,-1,Disgust,It wouldn't be good to give it to someone who makes the bus dirty.,"The phrase ""घाण करणारयाना"" (those who make things dirty) implies disgust towards unhygienic behavior."
असा आपण भाबडा समज करून घ्यायचा,0,Neutral,We should have made such a foolish assumption.,"The phrase ""भाबडा समज"" (naive assumption) suggests a lack of awareness but no strong emotion."
भाजप हद्दपार होत आहे...,-1,Anger,BJP is being expelled...,"The phrase ""हद्दपार होत आहे"" (being expelled) conveys frustration and anger."
म्हणून सांगतो पाव खा पण भाव खाऊ नका...,0,Neutral,That's why I say eat bread but don't eat the price...,"The phrase ""भाव खाऊ नका"" (don't show off) is advisory and does not indicate strong emotion."
कोण मेला ? वारला म्हणायचं आहे का तुम्हाला ? रोजगार वारला का ?,-1,Sadness,Who died? Do you mean died? Did employment die?,"The phrase ""रोजगार वारला"" (employment is dead) evokes sadness and concern about job losses."
तुझी तेवढी तरी लायकी आहे का भात्या,-1,Surprise,"Are you even worth that much, Bhatia?","The phrase ""लायकी आहे का?"" (Are you even capable?) questions someone’s worth, which can evoke surprise."
"अक्कल नको पाजळू तुझी, हिंदू सणं डोळ्यात खूपतात का तुझ्या ?",-1,Anger,"Don't let your common sense fool you, do Hindu festivals get in your eyes?","The phrase ""डोळ्यात खूपतात"" (does it hurt your eyes?) suggests frustration, leading to anger."
आंदोलन करणे हाच उपाय आहे का त्याशिवाल न्याय मिळणार नाही का???,-1,Anger,Is protesting the only solution? Won't justice be achieved?,"The phrase ""हाच उपाय आहे का?"" (Is this the only way?) questions justice aggressively, leading to anger."
"अक्कल नको पाजळू तुझी, हिंदू सणं डोळ्यात खूपतात का तुझ्या ?",-1,Anger,"Don't show off your intelligence, do Hindu festivals bother you?","The phrase ""अक्कल नको पाजळू"" (don't show off intelligence) expresses frustration, while ""डोळ्यात खूपतात"" (bother your eyes) adds confrontation."
